חברה,יום אקס דיבידנד,דיבידנד,סוג,תאריך תשלום,תשואה,Comfortable Date X
אורמת טכנולוגיות (ORA),16.11.2022,0.12,,30.11.2022,0.48%,11/16/2022
מטריקס (MTRX),17.11.2022,55.0,,04.12.2022,5.99%,11/17/2022
בזן (ORL),21.11.2022,6.51,,04.12.2022,9.92%,11/21/2022
סאני תקשורת (SNCM),22.11.2022,4.60335,,30.11.2022,13.03%,11/22/2022
אוברסיז קומרס (OVRS),22.11.2022,5.4534,,13.12.2022,5.39%,11/22/2022
פנינסולה (PEN),22.11.2022,4.88012,,30.11.2022,8.55%,11/22/2022
שרין טכנו (SARN),23.11.2022,0.006902,,09.12.2022,11.01%,11/23/2022
עשות (ASHO),23.11.2022,14.84788,,01.12.2022,0.86%,11/23/2022
אסאר אקורד (SRAC),23.11.2022,59.50579,,01.12.2022,3.81%,11/23/2022
קרור (KRUR),24.11.2022,79.50684,,01.12.2022,3.49%,11/24/2022
אופל בלאנס (OPAL),24.11.2022,2.77231,,04.12.2022,6.83%,11/24/2022
נובולוג (NVLG),24.11.2022,3.24354,,01.12.2022,2.24%,11/24/2022
מניף שירותים פיננסיים (MNIF),24.11.2022,20.67015,,05.12.2022,7.99%,11/24/2022
אפריקה מגורים (AFRE),24.11.2022,110.72852,,13.12.2022,4.15%,11/24/2022
מימון ישיר (DIFI),27.11.2022,936.60673,,06.12.2022,6.73%,11/27/2022
פליינג ספארק (FLYS),28.11.2022,,,08.12.2022,-,11/28/2022
לפידות (LAPD),28.11.2022,40.37607,,05.12.2022,2.50%,11/28/2022
אלרון (ELRN),28.11.2022,0.66351,,12.12.2022,25.36%,11/28/2022
דלתא מותגים (DLTI),28.11.2022,40.188,,06.12.2022,4.68%,11/28/2022
דלתא (DELG),29.11.2022,0.234,,06.12.2022,-,11/29/2022
איי.סי.אל (ICL),30.11.2022,83.54485,,14.12.2022,10.57%,11/30/2022
אי.טי.ג'י.איי (ETGA),30.11.2022,22.3436,,08.12.2022,4.24%,11/30/2022
דנאל (DANE),30.11.2022,500.0,,18.12.2022,6.69%,11/30/2022
וואן טכנולוגיות (ONE),30.11.2022,37.75321,,13.12.2022,2.89%,11/30/2022
בינלאומי (FIBI),30.11.2022,234.22696,,08.12.2022,6.25%,11/30/2022
רימוני (RIMO),01.12.2022,72.0,,20.12.2022,9.14%,12/1/2022
פועלים (POLI),01.12.2022,40.09464,,11.12.2022,2.15%,12/1/2022
The Gold Bond (GOLD),01.12.2022,63.0,,15.12.2022,1.10%,12/1/2022
אינרום תעשיות בנייה (INRM),01.12.2022,6.60372,,14.12.2022,2.11%,12/1/2022
טיב טעם (TTAM),01.12.2022,3.52283,,11.12.2022,2.58%,12/1/2022
דיסקונט (DSCT),04.12.2022,14.43803,,13.12.2022,2.49%,12/4/2022
נאוי (NAWI),04.12.2022,72.10421,,11.12.2022,9.42%,12/4/2022
מלם תים (MLTM),04.12.2022,100.0,,12.12.2022,3.03%,12/4/2022
שנפ (SHNP),04.12.2022,9.45262,,08.12.2022,6.52%,12/4/2022
פרשקובסקי (PRSK),04.12.2022,50.0,,12.12.2022,2.57%,12/4/2022
פולירם תעשיות פלסטיק (POLP),04.12.2022,9.37562,,19.12.2022,4.22%,12/4/2022
א.נ שוהם ביזנס (SHOM),04.12.2022,12.86241,,11.12.2022,3.60%,12/4/2022
ג'נריישן קפיטל (GNRS),05.12.2022,4.34798,,13.12.2022,3.45%,12/5/2022
אי.בי.אי. (IBI),05.12.2022,78.987,,12.12.2022,3.40%,12/5/2022
גלוברנדס (GLRS),05.12.2022,2034.1741,,15.12.2022,11.36%,12/5/2022
פורמולה מערכות (FORTY),05.12.2022,216.0,,20.12.2022,1.63%,12/5/2022
כהן פיתוח (CDEV),06.12.2022,0.75947,,15.12.2022,5.55%,12/6/2022
