חברה,יום אקס דיבידנד,דיבידנד,סוג,תאריך תשלום,תשואה,Comfortable Date X
לודן (LUDN),03.09.2024,175.0,,24.09.2024,16.43%,9/3/2024
אסאר אקורד (SRAC),03.09.2024,45.74282,,10.09.2024,4.72%,9/3/2024
חילן (HLAN),03.09.2024,150.0,,19.09.2024,1.49%,9/3/2024
זנלכל (ZNKL),03.09.2024,56.45796,,24.09.2024,6.03%,9/3/2024
אלקו (ELCO),04.09.2024,74.2638,,19.09.2024,1.67%,9/4/2024
הפניקס (PHOE),04.09.2024,107.376,,11.09.2024,5.44%,9/4/2024
אוריין (ORIN),04.09.2024,59.181,,16.09.2024,3.01%,9/4/2024
א.מ.ת (EMCO),04.09.2024,2.5,,19.09.2024,2.71%,9/4/2024
איי.סי.אל (ICL),04.09.2024,17.92916,,18.09.2024,4.44%,9/4/2024
בזן (ORL),04.09.2024,0.0096,,19.09.2024,21.02%,9/4/2024
דיפלומט (DIPL),04.09.2024,72.89396,,12.09.2024,6.77%,9/4/2024
רימוני (RIMO),04.09.2024,150.0,,19.09.2024,9.03%,9/4/2024
לסיכו (LSCO),05.09.2024,5.8889,,25.09.2024,1.92%,9/5/2024
מנורה מב החז (MMHD),05.09.2024,274.16134,,15.09.2024,5.11%,9/5/2024
ויקטורי (VCTR),05.09.2024,105.7829,,25.09.2024,4.70%,9/5/2024
מכלול (MCLL),05.09.2024,11.51413,,19.09.2024,1.83%,9/5/2024
פיימנט (PMNT),05.09.2024,8.0633,,12.09.2024,5.23%,9/5/2024
מיחשוב ישר (CMDR),05.09.2024,340.0,,19.09.2024,15.65%,9/5/2024
צור (ZUR),08.09.2024,12.28881,,23.09.2024,9.54%,9/8/2024
אלספק (ELSPC),08.09.2024,25.74223,,25.09.2024,4.53%,9/8/2024
טלסיס (TLSY),08.09.2024,331.48083,,23.09.2024,16.32%,9/8/2024
קווליטאו (QLTU),08.09.2024,188.9873,,18.09.2024,3.52%,9/8/2024
מימון ישיר (DIFI),08.09.2024,438.30517,,17.09.2024,3.81%,9/8/2024
יצוא (EXPO),08.09.2024,48.71325,,22.09.2024,1.64%,9/8/2024
אלמור חשמל התקנות ושירותים (ELMR),08.09.2024,30.0,,18.09.2024,7.63%,9/8/2024
אטראו שוקי הון (ATRY),08.09.2024,61.12669,,25.09.2024,6.65%,9/8/2024
כפרית (KAFR),08.09.2024,18.79485,,25.09.2024,3.06%,9/8/2024
פלסאון תעשיות (PLSN),09.09.2024,300.0,,16.09.2024,2.16%,9/9/2024
לפידות (LAPD),09.09.2024,22.68082,,25.09.2024,1.62%,9/9/2024
אמנת (AMAN),10.09.2024,91.91,,19.09.2024,13.73%,9/10/2024
ריטיילורס (RTLS),10.09.2024,85.66852,,24.09.2024,3.19%,9/10/2024
קבוצת עמוס לוזון (LUZN),11.09.2024,10.16715,,19.09.2024,4.05%,9/11/2024
פוקס-ויזל (FOX),11.09.2024,445.02201,,25.09.2024,2.90%,9/11/2024
פורמולה מערכות (FORTY),12.09.2024,232.0,,26.09.2024,1.64%,9/12/2024
תיגבור (TIGBUR),12.09.2024,54.15786,,23.09.2024,3.12%,9/12/2024
הולמס פלייס (HLMS),15.09.2024,16.37732,,01.10.2024,10.23%,9/15/2024
פז נפט (PAZ),15.09.2024,2200.5513,,01.10.2024,13.01%,9/15/2024
בירמן (BIRM),15.09.2024,18.18218,,25.09.2024,2.02%,9/15/2024
מיטרוניקס (MTRN),16.09.2024,18.2246,,15.10.2024,4.44%,9/16/2024
שניב (SHAN),16.09.2024,3.96467,,01.10.2024,4.13%,9/16/2024
מטריקס (MTRX),18.09.2024,82.0,,01.10.2024,4.06%,9/18/2024
הראל השקעות (HARL),19.09.2024,97.34267,,29.09.2024,7.79%,9/19/2024
אנרג'יאן (ENOG),22.09.2024,0.3,,30.09.2024,10.06%,9/22/2024
פלרם (PLRM),22.09.2024,116.61587,,29.09.2024,5.45%,9/22/2024
בזק (BEZQ),26.09.2024,14.70386,,10.10.2024,6.52%,9/26/2024
Retailminds Tech (RTMD),07.10.2024,44.09871,,14.10.2024,47.42%,10/7/2024
סמארט אגרו (SMAG),14.10.2024,,,27.10.2024,-,10/14/2024
קיסטון ריט (KSTN),15.10.2024,10.85249,,28.10.2024,7.69%,10/15/2024
אלביט מערכות (ESLT),15.10.2024,0.5,,28.10.2024,0.95%,10/15/2024
אאורה השקעות (AURA),20.10.2024,7.16128,,30.10.2024,0.84%,10/20/2024
אלרון (ELRN),21.10.2024,0.10656,,03.11.2024,175.64%,10/21/2024
אלרון (ELRN),21.10.2024,0.17781,,03.11.2024,175.64%,10/21/2024
איסתא (ISTA),27.10.2024,300.0,,12.11.2024,3.59%,10/27/2024
תומר אנרגיה (TOEN),29.10.2024,0.12499,,07.11.2024,9.13%,10/29/2024
קווינקו-ס (QNCO),10.11.2024,25.0,,18.11.2024,5.48%,11/10/2024
אלמדה ונצ'רס (AMDAp),11.11.2024,,,21.11.2024,-,11/11/2024
אינרום תעשיות בנייה (INRM),19.11.2024,13.39591,,18.12.2024,1.63%,11/19/2024
אורמת טכנולוגיות (ORA),20.11.2024,0.12,,04.12.2024,0.61%,11/20/2024
פולירם תעשיות פלסטיק (POLP),21.11.2024,9.35772,,02.12.2024,4.10%,11/21/2024
אוברסיז קומרס (OVRS),21.11.2024,4.80808,,04.12.2024,1.26%,11/21/2024
הייפר גלובל (HIPR),21.11.2024,6.0,,10.12.2024,2.13%,11/21/2024
מ.ל.ר.ן פרוייקטים ומסחר (MLRN),21.11.2024,6.33677,,01.12.2024,2.62%,11/21/2024
דלתא מותגים (DLTI),25.11.2024,61.14,,03.12.2024,16.26%,11/25/2024
פיימנט (PMNT),26.11.2024,5.365,,03.12.2024,5.38%,11/26/2024
אופל בלאנס (OPAL),26.11.2024,3.776,,04.12.2024,7.80%,11/26/2024
איביאי חיתום (IBIU),26.11.2024,8.037,,05.12.2024,5.62%,11/26/2024
לאומי (LUMI),27.11.2024,45.62846,,05.12.2024,3.95%,11/27/2024
ליברה (LBRA),27.11.2024,22.08855,,05.12.2024,2.67%,11/27/2024
פועלים (POLI),27.11.2024,38.51322,,11.12.2024,3.98%,11/27/2024
דלתא (DELG),27.11.2024,0.31,,10.12.2024,2.39%,11/27/2024
מניף שירותים פיננסיים (MNIF),28.11.2024,22.52612,,09.12.2024,3.69%,11/28/2024
מור גמל (MPP),28.11.2024,28.10561,,08.12.2024,7.03%,11/28/2024
וואן טכנולוגיות (ONE),28.11.2024,52.428,,12.12.2024,3.10%,11/28/2024
ניו-מד אנרג יהש (NWMDp),28.11.2024,0.05538,,12.12.2024,6.71%,11/28/2024
מזרחי טפחות (MZTF),28.11.2024,220.55659,,05.12.2024,4.47%,11/28/2024
דיסקונט (DSCT),28.11.2024,27.59504,,12.12.2024,3.81%,11/28/2024
אפריקה מגורים (AFRE),28.11.2024,158.1836,,12.12.2024,2.43%,11/28/2024
דלק קבוצה (DLEKG),01.12.2024,1362.33,,15.12.2024,10.42%,12/1/2024
סאני תקשורת (SNCM),01.12.2024,4.60335,,09.12.2024,8.01%,12/1/2024
פנינסולה (PEN),01.12.2024,4.1,,09.12.2024,6.48%,12/1/2024
שנפ (SHNP),01.12.2024,15.75436,,09.12.2024,5.45%,12/1/2024
אלטשולר שחם פיננסים (ALTF),01.12.2024,10.6137,,10.12.2024,6.52%,12/1/2024
בינלאומי (FIBI),02.12.2024,247.18419,,10.12.2024,5.63%,12/2/2024
סיאון (CION),02.12.2024,0.36,,16.12.2024,15.76%,12/2/2024
נובולוג (NVLG),02.12.2024,1.9579,,09.12.2024,4.42%,12/2/2024
אסאר אקורד (SRAC),02.12.2024,60.99043,,10.12.2024,3.89%,12/2/2024
מיטב השקעות (MTAV),02.12.2024,51.0,,15.12.2024,5.66%,12/2/2024
מימון ישיר (DIFI),03.12.2024,856.78176,,12.12.2024,4.04%,12/3/2024
נאוי (NAWI),03.12.2024,58.52787,,10.12.2024,8.35%,12/3/2024
אנרג'יקס (ENRG),03.12.2024,10.0,,10.12.2024,5.01%,12/3/2024
עשות (ASHO),03.12.2024,63.00372,,11.12.2024,2.14%,12/3/2024
דנאל (DANE),03.12.2024,352.4,,24.12.2024,2.10%,12/3/2024
פמס (FBRT),03.12.2024,1.63133,,24.12.2024,8.12%,12/3/2024
דיפלומט (DIPL),04.12.2024,65.44072,,12.12.2024,6.25%,12/4/2024
איילון חברה לביטוח (AYAL),04.12.2024,240.39495,,11.12.2024,7.45%,12/4/2024
אי.טי.ג'י.איי (ETGA),04.12.2024,31.65024,,12.12.2024,5.25%,12/4/2024
The Gold Bond (GOLD),04.12.2024,112.0,,17.12.2024,1.28%,12/4/2024
סינאל (SNEL),04.12.2024,70.67817,,15.12.2024,4.71%,12/4/2024
מיטב טרייד (MTRD),04.12.2024,23.0,,11.12.2024,7.71%,12/4/2024
איי.סי.אל (ICL),04.12.2024,19.15118,,18.12.2024,4.07%,12/4/2024
איידיאיי ביטוח (IDIN),04.12.2024,326.24327,,12.12.2024,9.84%,12/4/2024
רימוני (RIMO),04.12.2024,120.0,,19.12.2024,9.06%,12/4/2024
גלוברנדס (GLRS),04.12.2024,2441.0089,,12.12.2024,9.55%,12/4/2024
אי.בי.אי. (IBI),04.12.2024,125.3467,,11.12.2024,4.27%,12/4/2024
רמי לוי (RMLI),05.12.2024,399.25715,,12.12.2024,6.93%,12/5/2024
כהן פיתוח (CDEV),05.12.2024,1.67084,,18.12.2024,8.48%,12/5/2024
כפרית (KAFR),05.12.2024,18.77288,,26.12.2024,2.81%,12/5/2024
יוחננוף (YHNF),05.12.2024,138.0,,15.12.2024,4.45%,12/5/2024
ג'י וואן (GOSS),05.12.2024,5.99816,,12.12.2024,3.82%,12/5/2024
טי.ג'י.איי (TGI),05.12.2024,6.75401,,24.12.2024,11.79%,12/5/2024
רם-און השקעות והחזקות (RMN),05.12.2024,15.92295,,18.12.2024,4.06%,12/5/2024
א.מ.ת (EMCO),05.12.2024,6.0,,17.12.2024,3.23%,12/5/2024
קרסו מוטורס (CRSM),05.12.2024,77.79068,,12.12.2024,9.66%,12/5/2024
פלסאון תעשיות (PLSN),05.12.2024,400.0,,12.12.2024,3.92%,12/5/2024
לפידות (LAPD),05.12.2024,11.34041,,26.12.2024,1.19%,12/5/2024
נטו מלינדה (NTML),05.12.2024,239.51231,,18.12.2024,3.03%,12/5/2024
בכורי שדה (BKRY),05.12.2024,3.33905,,17.12.2024,2.43%,12/5/2024
אנרג'יאן (ENOG),08.12.2024,0.3,,30.12.2024,9.27%,12/8/2024
א.נ שוהם ביזנס (SHOM),08.12.2024,10.78455,,16.12.2024,7.14%,12/8/2024
פרימוטק (PRMG),08.12.2024,137.43498,,16.12.2024,9.08%,12/8/2024
מנורה מב החז (MMHD),08.12.2024,185.40797,,16.12.2024,5.12%,12/8/2024
פיבי (FIBIH),08.12.2024,335.65907,,16.12.2024,7.12%,12/8/2024
טיב טעם (TTAM),08.12.2024,2.81679,,22.12.2024,2.19%,12/8/2024
צור (ZUR),08.12.2024,12.28881,,23.12.2024,8.18%,12/8/2024
מבטח שמיר (MISH),08.12.2024,200.0,,16.12.2024,2.24%,12/8/2024
גן שמואל (GSFI),08.12.2024,94.68291,,22.12.2024,7.16%,12/8/2024
אטראו שוקי הון (ATRY),09.12.2024,112.06559,,25.12.2024,5.83%,12/9/2024
י.ד. מור השקעות (MRIN),09.12.2024,50.48363,,17.12.2024,6.34%,12/9/2024
קבוצת ברן (BRAN),10.12.2024,85.22097,,17.12.2024,5.45%,12/10/2024
רוטשטיין (ROTS),10.12.2024,62.18825,,18.12.2024,2.11%,12/10/2024
מיחשוב ישר (CMDR),11.12.2024,340.0,,22.12.2024,10.89%,12/11/2024
כלל עסקי ביטוח (CLIS),11.12.2024,125.93982,,24.12.2024,1.49%,12/11/2024
ניסן (NISA),11.12.2024,75.0,,23.12.2024,4.93%,12/11/2024
סנו (SANO1),11.12.2024,700.0,,25.12.2024,1.87%,12/11/2024
שניב (SHAN),12.12.2024,3.96467,,01.01.2025,3.96%,12/12/2024
תיגבור (TIGBUR),12.12.2024,40.74261,,23.12.2024,3.33%,12/12/2024
מגדל ביטוח (MGDL),15.12.2024,2.84656,,23.12.2024,0.76%,12/15/2024
הולמס פלייס (HLMS),15.12.2024,16.34351,,02.01.2025,11.94%,12/15/2024
תורפז (TRPZ),16.12.2024,14.3455,,30.12.2024,1.50%,12/16/2024
קרור (KRUR),17.12.2024,254.42189,,26.12.2024,3.98%,12/17/2024
טלסיס (TLSY),18.12.2024,331.48083,,02.01.2025,6.98%,12/18/2024
נפטא (NFTA),19.12.2024,180.15644,,26.12.2024,6.92%,12/19/2024
פז נפט (PAZ),19.12.2024,702.11867,,01.01.2025,11.40%,12/19/2024
דניה סיבוס (DNYA),19.12.2024,127.25204,,06.01.2025,4.10%,12/19/2024
מטריקס (MTRX),19.12.2024,76.0,,06.01.2025,4.21%,12/19/2024
ישראמקו נגב (ISRAp),19.12.2024,0.01541,,26.12.2024,8.17%,12/19/2024
אלביט מערכות (ESLT),23.12.2024,0.5,,06.01.2025,0.77%,12/23/2024
מג'יק (MGIC),23.12.2024,0.236,,08.01.2025,3.63%,12/23/2024
פרשקובסקי (PRSK),23.12.2024,113.91386,,30.12.2024,1.64%,12/23/2024
רותם אנרגיה יהש (RTENp),23.12.2024,,,02.01.2025,-,12/23/2024
בית הזהב (GOHO),24.12.2024,128.89434,,31.12.2024,5.38%,12/24/2024
אורביט (ORBI),24.12.2024,199.29988,,31.12.2024,6.24%,12/24/2024
קרור (KRUR),30.12.2024,278.27394,,07.01.2025,7.68%,12/30/2024
סיאון (CION),30.12.2024,0.05,,27.01.2025,16.64%,12/30/2024
הראל השקעות (HARL),31.12.2024,121.20681,,09.01.2025,7.70%,12/31/2024
גולן פלסטיק (GRIN),01.01.2025,58.42514,,16.01.2025,4.19%,1/1/2025
אופל בלאנס (OPAL),06.01.2025,4.7798,,13.01.2025,8.07%,1/6/2025
קסטרו (CAST),07.01.2025,727.48171,,15.01.2025,6.31%,1/7/2025
קיסטון ריט (KSTN),08.01.2025,10.53172,,15.01.2025,6.82%,1/8/2025
Retailminds Tech (RTMD),09.01.2025,44.09871,,19.01.2025,141.57%,1/9/2025
ברנד (BRND),06.02.2025,4.79191,,13.02.2025,3.41%,2/6/2025
עילדב-ש (ELDAV),13.02.2025,4.11016,,20.02.2025,5.18%,2/13/2025
אקסיליון תחבורה חכמה (AILN),17.02.2025,,,04.03.2025,-,2/17/2025
אראסאל (RSEL),18.02.2025,49.39405,,27.02.2025,3.54%,2/18/2025
דלתא מותגים (DLTI),18.02.2025,121.08,,09.03.2025,14.78%,2/18/2025
דלתא (DELG),19.02.2025,0.384,,26.02.2025,2.28%,2/19/2025
אודיוקודס (AUDC),20.02.2025,0.18,,06.03.2025,3.18%,2/20/2025
שטראוס (STRS),25.02.2025,171.5775,,04.03.2025,5.12%,2/25/2025
פיימנט (PMNT),26.02.2025,5.3131,,05.03.2025,4.66%,2/26/2025
פוקס-ויזל (FOX),03.03.2025,1083.5138,,11.03.2025,5.62%,3/3/2025
מזרחי טפחות (MZTF),06.03.2025,201.56941,,13.03.2025,4.94%,3/6/2025
מניף שירותים פיננסיים (MNIF),06.03.2025,28.36622,,17.03.2025,4.40%,3/6/2025
אנרג'יאן (ENOG),09.03.2025,0.3,,31.03.2025,9.68%,3/9/2025
גולף (GOLF),11.03.2025,45.1679,,19.03.2025,6.36%,3/11/2025
פועלים (POLI),11.03.2025,28.09224,,20.03.2025,3.38%,3/11/2025
איי.סי.אל (ICL),12.03.2025,14.69338,,25.03.2025,3.07%,3/12/2025
הבורסה לניירות ערך בת''א (TASE),12.03.2025,55.56392,,20.03.2025,1.18%,3/12/2025
אורמת טכנולוגיות (ORA),12.03.2025,0.12,,26.03.2025,0.66%,3/12/2025
לאומי (LUMI),12.03.2025,47.0189,,20.03.2025,4.27%,3/12/2025
אנרג'יקס (ENRG),16.03.2025,10.0,,08.04.2025,3.67%,3/16/2025
פרטנר (PTNR),17.03.2025,134.10912,,25.03.2025,4.90%,3/17/2025
מ.ל.ר.ן פרוייקטים ומסחר (MLRN),17.03.2025,37.35363,,08.04.2025,6.15%,3/17/2025
קמהדע (KMDA),17.03.2025,0.2,,07.04.2025,2.78%,3/17/2025
נקסט ויז'ן (NXSN),18.03.2025,0.40968,,26.03.2025,1.56%,3/18/2025
פנינסולה (PEN),19.03.2025,4.1,,26.03.2025,5.90%,3/19/2025
איביאי חיתום (IBIU),19.03.2025,21.21764,,27.03.2025,6.77%,3/19/2025
בזן (ORL),19.03.2025,0.01608,,10.04.2025,9.33%,3/19/2025
בינלאומי (FIBI),19.03.2025,227.24998,,27.03.2025,4.67%,3/19/2025
אסאר אקורד (SRAC),20.03.2025,114.35706,,27.03.2025,5.42%,3/20/2025
לכיש (LHIS),20.03.2025,18.0,,01.04.2025,3.42%,3/20/2025
אקרשטיין (ACKR),20.03.2025,17.35745,,02.04.2025,2.53%,3/20/2025
הפניקס (PHOE),20.03.2025,225.293,,27.03.2025,4.55%,3/20/2025
ישראכרט (ISCD),20.03.2025,26.04993,,30.03.2025,3.01%,3/20/2025
מטריקס (MTRX),20.03.2025,82.0,,08.04.2025,3.56%,3/20/2025
ניו-מד אנרג יהש (NWMDp),20.03.2025,0.05112,,03.04.2025,6.04%,3/20/2025
אופל בלאנס (OPAL),20.03.2025,4.63646,,30.03.2025,7.96%,3/20/2025
איידיאיי ביטוח (IDIN),23.03.2025,407.31115,,30.03.2025,9.91%,3/23/2025
סאני תקשורת (SNCM),23.03.2025,5.524,,09.04.2025,11.45%,3/23/2025
איידיאיי ביטוח (IDIN),23.03.2025,305.4833625,,30.03.2025,9.91%,3/23/2025
קרדן נדלן (KARE),23.03.2025,18.2003,,01.04.2025,3.24%,3/23/2025
הייפר גלובל (HIPR),23.03.2025,10.5,,07.04.2025,3.11%,3/23/2025
הייפר גלובל (HIPR),23.03.2025,14.0,,07.04.2025,3.11%,3/23/2025
פרידנזון (FRDN),23.03.2025,122.5632,,03.04.2025,3.21%,3/23/2025
מנורה מב החז (MMHD),24.03.2025,240.58696,,01.04.2025,5.56%,3/24/2025
ויליפוד אינטרנש (WILC),24.03.2025,216.0,,07.04.2025,3.65%,3/24/2025
בוליגו (BLGO),25.03.2025,0.03568,,17.04.2025,1.74%,3/25/2025
איילון חברה לביטוח (AYAL),25.03.2025,120.19747,,07.04.2025,2.64%,3/25/2025
מיטב טרייד (MTRD),25.03.2025,36.0,,01.04.2025,5.72%,3/25/2025
מיטב השקעות (MTAV),25.03.2025,64.0,,02.04.2025,3.75%,3/25/2025
פז נפט (PAZ),25.03.2025,701.57925,,10.04.2025,10.90%,3/25/2025
TSG IT Advanced Systems (TSG),25.03.2025,209.4169,,01.04.2025,1.01%,3/25/2025
רציו אנרגיות (RATIp),26.03.2025,0.03559,,10.04.2025,5.94%,3/26/2025
אימד יהש (IMEDp),26.03.2025,,,09.04.2025,-,3/26/2025
"תעשיות מספנות ישראל בע""מ (ISHI)",26.03.2025,80.0,,03.04.2025,0.68%,3/26/2025
ווישור גלובלטק (WESR),26.03.2025,15.24292,,06.04.2025,2.83%,3/26/2025
ירושלים (JBNK),26.03.2025,28.97143,,09.04.2025,3.68%,3/26/2025
The Gold Bond (GOLD),27.03.2025,289.0,,08.04.2025,2.23%,3/27/2025
וואן טכנולוגיות (ONE),27.03.2025,62.30625,,10.04.2025,3.04%,3/27/2025
שפיר הנדסה (SPEN),27.03.2025,22.3815,,03.04.2025,0.95%,3/27/2025
מכלול (MCLL),27.03.2025,11.51413,,10.04.2025,2.01%,3/27/2025
פולירם תעשיות פלסטיק (POLP),27.03.2025,9.35632,,07.04.2025,3.75%,3/27/2025
מור גמל (MPP),27.03.2025,7.01605,,06.04.2025,7.51%,3/27/2025
אראסאל (RSEL),27.03.2025,136.3,,23.04.2025,6.26%,3/27/2025
סיאון (CION),28.03.2025,0.36,,11.04.2025,15.76%,3/28/2025
יוניטרוניקס (UNIT),30.03.2025,57.33933,,22.04.2025,8.32%,3/30/2025
פיבי (FIBIH),30.03.2025,308.86275,,07.04.2025,6.50%,3/30/2025
אזורים השקעות (AZRM),30.03.2025,18.94478,,07.04.2025,1.16%,3/30/2025
דיסקונט (DSCT),30.03.2025,25.56067,,07.04.2025,3.99%,3/30/2025
תמר פטרוליום (TMRP),31.03.2025,0.1692,,10.04.2025,3.65%,3/31/2025
סינאל (SNEL),31.03.2025,88.34771,,14.04.2025,13.74%,3/31/2025
א.מ.ת (EMCO),31.03.2025,11.5,,10.04.2025,2.92%,3/31/2025
רימוני (RIMO),31.03.2025,110.0,,14.04.2025,10.90%,3/31/2025
אלקטרה צריכה (ECP),31.03.2025,172.28,,08.04.2025,1.74%,3/31/2025
מנדלסון תשתיות ותעשיות (MNIN),31.03.2025,60.5753,,08.04.2025,4.10%,3/31/2025
אי.בי.אי. (IBI),31.03.2025,588.2651,,07.04.2025,5.94%,3/31/2025
ארן (ARAN),31.03.2025,88.4515,,07.04.2025,4.55%,3/31/2025
קשרי תעופה (AVIA),31.03.2025,0.65298,,10.04.2025,12.85%,3/31/2025
נאוי (NAWI),01.04.2025,64.04704,,08.04.2025,5.19%,4/1/2025
אלטשולר שחם פיננסים (ALTF),01.04.2025,11.1116,,09.04.2025,8.18%,4/1/2025
תפרון (TFRLF),01.04.2025,0.16,,23.04.2025,2.78%,4/1/2025
Effi Capital Nadlan (EFCP),01.04.2025,10.85493,,08.04.2025,2.14%,4/1/2025
אלקו (ELCO),02.04.2025,167.0936,,09.04.2025,1.69%,4/2/2025
שיח מדיקל (SEMG),02.04.2025,12.0,,20.04.2025,4.83%,4/2/2025
טי.ג'י.איי (TGI),02.04.2025,5.38035,,10.04.2025,9.73%,4/2/2025
שנפ (SHNP),02.04.2025,78.77181,,21.04.2025,7.40%,4/2/2025
לפידות (LAPD),02.04.2025,12.96091,,23.04.2025,1.30%,4/2/2025
שטראוס (STRS),02.04.2025,137.25553,,10.04.2025,3.82%,4/2/2025
קבוצת אשטרום בעמ (ASHG),02.04.2025,71.766,,10.04.2025,1.38%,4/2/2025
אי.טי.ג'י.איי (ETGA),03.04.2025,45.23509,,23.04.2025,5.84%,4/3/2025
תומר אנרגיה (TOEN),03.04.2025,0.19999,,22.04.2025,10.06%,4/3/2025
המשביר 365 (MSBI),03.04.2025,5.71918,,10.04.2025,6.41%,4/3/2025
שניב (SHAN),03.04.2025,3.96467,,22.04.2025,3.14%,4/3/2025
תדיראן (TDRN),03.04.2025,41.92872,,10.04.2025,0.49%,4/3/2025
ברקת קפיטל (BRKT),03.04.2025,12.95862,,10.04.2025,5.26%,4/3/2025
דלק קבוצה (DLEKG),03.04.2025,1416.8247,,20.04.2025,8.36%,4/3/2025
טרמינל איקס (TRX),03.04.2025,18.25495,,23.04.2025,4.00%,4/3/2025
Baladi (BLDI),03.04.2025,26.31579,,10.04.2025,1.03%,4/3/2025
כפרית (KAFR),03.04.2025,20.80107,,28.04.2025,2.72%,4/3/2025
מימון ישיר (DIFI),06.04.2025,790.77374,,21.04.2025,5.31%,4/6/2025
רמי לוי (RMLI),06.04.2025,399.25714,,15.04.2025,6.40%,4/6/2025
אלקטרה (ELTR),06.04.2025,1228.8269,,04.05.2025,1.29%,4/6/2025
ברימאג-ס (BRMG),06.04.2025,122.62368,,23.04.2025,5.08%,4/6/2025
אינרום תעשיות בנייה (INRM),06.04.2025,9.42435,,23.04.2025,2.02%,4/6/2025
אטראו שוקי הון (ATRY),06.04.2025,135.83708,,23.04.2025,5.60%,4/6/2025
דוניץ (DUNI),06.04.2025,167.203,,22.04.2025,0.78%,4/6/2025
ויקטורי (VCTR),06.04.2025,141.03889,,22.04.2025,5.81%,4/6/2025
כנפיים (KNFM),06.04.2025,91.0,,15.04.2025,10.54%,4/6/2025
ראלקו (RLCO),06.04.2025,367.38169,,15.04.2025,5.83%,4/6/2025
א.נ שוהם ביזנס (SHOM),06.04.2025,13.3127,,15.04.2025,5.84%,4/6/2025
ג'י וואן (GOSS),06.04.2025,5.60878,,21.04.2025,3.45%,4/6/2025
בית הזהב (GOHO),06.04.2025,1256.719,,14.04.2025,48.18%,4/6/2025
דניה סיבוס (DNYA),06.04.2025,126.94296,,06.05.2025,4.96%,4/6/2025
יוחננוף (YHNF),07.04.2025,345.0,,21.04.2025,3.05%,4/7/2025
גן שמואל (GSFI),07.04.2025,252.488,,22.04.2025,12.05%,4/7/2025
גניגר (GNGR),07.04.2025,98.8157,,16.04.2025,10.62%,4/7/2025
אילקס מדיקל (ILX),07.04.2025,121.95,,15.04.2025,2.01%,4/7/2025
סאפיינס (SPNS),07.04.2025,0.66,,16.04.2025,3.62%,4/7/2025
עמיר שיווק (AMRK),07.04.2025,120.0,,04.05.2025,3.79%,4/7/2025
שגריר (SHGR),07.04.2025,38.4669,,21.04.2025,2.73%,4/7/2025
חילן (HLAN),07.04.2025,200.0,,24.04.2025,1.55%,4/7/2025
טיב טעם (TTAM),07.04.2025,4.60244,,21.04.2025,2.44%,4/7/2025
בכורי שדה (BKRY),07.04.2025,6.678,,21.04.2025,4.50%,4/7/2025
דיפלומט (DIPL),07.04.2025,79.9831,,17.04.2025,5.30%,4/7/2025
שירותי בנקאות אוטומטיים (SHVA),07.04.2025,75.0,,21.04.2025,3.35%,4/7/2025
קווליטאו (QLTU),08.04.2025,337.623,,17.04.2025,2.57%,4/8/2025
אמנת (AMAN),08.04.2025,61.271,,23.04.2025,13.61%,4/8/2025
אלמור חשמל התקנות ושירותים (ELMR),08.04.2025,23.0,,22.04.2025,3.95%,4/8/2025
י.ד. מור השקעות (MRIN),08.04.2025,26.62163,,21.04.2025,8.51%,4/8/2025
אנליסט (ANLT),08.04.2025,130.0,,28.04.2025,1.51%,4/8/2025
פרימוטק (PRMG),08.04.2025,103.07623,,21.04.2025,16.04%,4/8/2025
ג'נריישן קפיטל (GNRS),08.04.2025,1.18114,,30.04.2025,1.51%,4/8/2025
מיחשוב ישר (CMDR),08.04.2025,460.0,,21.04.2025,10.91%,4/8/2025
חברה לישראל (ILCO),09.04.2025,753.41843,,21.04.2025,0.71%,4/9/2025
שופרסל (SAE),09.04.2025,135.09953,,06.05.2025,3.80%,4/9/2025
קליל (KLIL),09.04.2025,202.8702,,23.04.2025,1.00%,4/9/2025
קיסטון ריט (KSTN),09.04.2025,10.68424,,21.04.2025,6.28%,4/9/2025
קבוצת ברן (BRAN),09.04.2025,84.44088,,29.04.2025,12.22%,4/9/2025
זנלכל (ZNKL),10.04.2025,71.42819,,28.04.2025,3.14%,4/10/2025
אביב בניה (AVIV),10.04.2025,52.83629,,04.05.2025,2.71%,4/10/2025
פמס (FBRT),10.04.2025,3.26266,,07.05.2025,10.97%,4/10/2025
נקסטקום (NXTM),10.04.2025,24.491,,05.05.2025,3.33%,4/10/2025
תיגבור (TIGBUR),10.04.2025,29.81167,,23.04.2025,3.40%,4/10/2025
אלרון (ELRN),10.04.2025,0.16613,,23.04.2025,36.44%,4/10/2025
ישרוטל -ס (ISRO),14.04.2025,100.7,,29.04.2025,1.27%,4/14/2025
"מקס סטוק בע""מ (MAXO)",14.04.2025,50.17681,,27.04.2025,3.50%,4/14/2025
דמרי (DIMRI),14.04.2025,347.45729,,23.04.2025,2.56%,4/14/2025
רבל (RVL),14.04.2025,18.2852,,12.05.2025,8.31%,4/14/2025
קנון הולדינגס (KEN),14.04.2025,4.8,,21.04.2025,14.73%,4/14/2025
ריטיילורס (RTLS),15.04.2025,145.75784,,28.04.2025,2.82%,4/15/2025
פלרם (PLRM),15.04.2025,388.71956,,28.04.2025,6.38%,4/15/2025
אמיליה פיתוח (EMDV),15.04.2025,63.23009,,22.04.2025,2.30%,4/15/2025
